year,mean,p50,p5,p95,legend,gender
2010,0,0,0,0,SSP2-RCP4.5,Male
2020,0.57,0.62,-5.19,5.77,SSP2-RCP4.5,Male
2030,-3.38,1.27,-41.37,6.54,SSP2-RCP4.5,Male
2040,-2.38,2.05,-45.32,7.54,SSP2-RCP4.5,Male
2050,-2.62,2.67,-44.29,8.11,SSP2-RCP4.5,Male
2060,-4.71,2.45,-61.04,8.29,SSP2-RCP4.5,Male
2070,-3.21,3.3,-65.91,8.81,SSP2-RCP4.5,Male
2080,-3.04,3.12,-56.19,8.8,SSP2-RCP4.5,Male
2090,-5.42,3,-73.35,8.87,SSP2-RCP4.5,Male
2010,0,0,0,0,SSP5-RCP8.5,Male
2020,-0.83,0.57,-19.75,6.09,SSP5-RCP8.5,Male
2030,-1.99,1.5,-23.9,7.02,SSP5-RCP8.5,Male
2040,-0.34,2.18,-14.35,7.81,SSP5-RCP8.5,Male
2050,-1.25,2.92,-38.12,8,SSP5-RCP8.5,Male
2060,-2.5,3.86,-71.75,9.87,SSP5-RCP8.5,Male
2070,-9.76,3.56,-92.11,9.8,SSP5-RCP8.5,Male
2080,-13.65,3.95,-97.6,10.96,SSP5-RCP8.5,Male
2090,-14.65,4.45,-99.75,11.86,SSP5-RCP8.5,Male
2010,0,0,0,0,SSP2-RCP4.5,Female
2020,-1.02,-0.96,-6.96,2.44,SSP2-RCP4.5,Female
2030,-6.61,-2.08,-50.24,1.49,SSP2-RCP4.5,Female
2040,-7.47,-2.75,-39.12,0.55,SSP2-RCP4.5,Female
2050,-9,-3.46,-54.22,-0.22,SSP2-RCP4.5,Female
2060,-10.65,-3.66,-60.52,-0.06,SSP2-RCP4.5,Female
2070,-10.53,-4.19,-68.05,-0.71,SSP2-RCP4.5,Female
2080,-9.98,-3.86,-66.45,-0.49,SSP2-RCP4.5,Female
2090,-12.95,-4.56,-83.54,-0.84,SSP2-RCP4.5,Female
2010,0,0,0,0,SSP5-RCP8.5,Female
2020,-2.6,-1.41,-22.31,2.11,SSP5-RCP8.5,Female
2030,-5.8,-2.18,-28.63,1.14,SSP5-RCP8.5,Female
2040,-5.73,-2.65,-24.73,0.8,SSP5-RCP8.5,Female
2050,-8.17,-3.39,-37.85,-0.02,SSP5-RCP8.5,Female
2060,-10.33,-4.48,-64.04,-0.94,SSP5-RCP8.5,Female
2070,-19.53,-6.2,-93.4,-2.15,SSP5-RCP8.5,Female
2080,-23.95,-7.33,-99.27,-3.06,SSP5-RCP8.5,Female
2090,-26.58,-9.38,-99.89,-4.11,SSP5-RCP8.5,Female
